Job ID:     9516064
Node:       node3200
GPU:        0
Start time: Sat Feb 21 14:15:30 EST 2026
=== Training teacher (strong model) ===
  [Standard] Epoch  1 | loss 0.2609 | train_acc 0.9234 | test_acc 0.9635
  [Standard] Epoch  2 | loss 0.0940 | train_acc 0.9715 | test_acc 0.9704
  [Standard] Epoch  3 | loss 0.0619 | train_acc 0.9805 | test_acc 0.9772
  [Standard] Epoch  4 | loss 0.0427 | train_acc 0.9860 | test_acc 0.9769
  [Standard] Epoch  5 | loss 0.0348 | train_acc 0.9885 | test_acc 0.9751
  [Standard] Epoch  6 | loss 0.0255 | train_acc 0.9921 | test_acc 0.9787
  [Standard] Epoch  7 | loss 0.0216 | train_acc 0.9927 | test_acc 0.9758
  [Standard] Epoch  8 | loss 0.0178 | train_acc 0.9940 | test_acc 0.9801
  [Standard] Epoch  9 | loss 0.0147 | train_acc 0.9952 | test_acc 0.9779
  [Standard] Epoch 10 | loss 0.0127 | train_acc 0.9957 | test_acc 0.9809
  Teacher test acc: 0.9809

=== Training student from scratch (baseline) ===
  [Standard] Epoch  1 | loss 0.3836 | train_acc 0.8916 | test_acc 0.9424
  [Standard] Epoch  2 | loss 0.1539 | train_acc 0.9541 | test_acc 0.9643
  [Standard] Epoch  3 | loss 0.1050 | train_acc 0.9682 | test_acc 0.9694
  [Standard] Epoch  4 | loss 0.0772 | train_acc 0.9767 | test_acc 0.9741
  [Standard] Epoch  5 | loss 0.0603 | train_acc 0.9818 | test_acc 0.9762
  [Standard] Epoch  6 | loss 0.0488 | train_acc 0.9850 | test_acc 0.9747
  [Standard] Epoch  7 | loss 0.0423 | train_acc 0.9866 | test_acc 0.9756
  [Standard] Epoch  8 | loss 0.0354 | train_acc 0.9886 | test_acc 0.9762
  [Standard] Epoch  9 | loss 0.0275 | train_acc 0.9916 | test_acc 0.9777
  [Standard] Epoch 10 | loss 0.0232 | train_acc 0.9927 | test_acc 0.9761
  Student (baseline) test acc: 0.9761

=== Distilling  T=1  alpha=0.1 ===
  [T=1] Epoch  1 | loss 0.3759 | train_acc 0.8918 | test_acc 0.9411
  [T=1] Epoch  2 | loss 0.1437 | train_acc 0.9551 | test_acc 0.9640
  [T=1] Epoch  3 | loss 0.0960 | train_acc 0.9691 | test_acc 0.9699
  [T=1] Epoch  4 | loss 0.0698 | train_acc 0.9768 | test_acc 0.9719
  [T=1] Epoch  5 | loss 0.0532 | train_acc 0.9819 | test_acc 0.9742
  [T=1] Epoch  6 | loss 0.0434 | train_acc 0.9849 | test_acc 0.9740
  [T=1] Epoch  7 | loss 0.0361 | train_acc 0.9871 | test_acc 0.9748
  [T=1] Epoch  8 | loss 0.0311 | train_acc 0.9882 | test_acc 0.9773
  [T=1] Epoch  9 | loss 0.0231 | train_acc 0.9912 | test_acc 0.9774
  [T=1] Epoch 10 | loss 0.0215 | train_acc 0.9913 | test_acc 0.9763

=== Distilling  T=2  alpha=0.1 ===
  [T=2] Epoch  1 | loss 1.5185 | train_acc 0.8798 | test_acc 0.9335
  [T=2] Epoch  2 | loss 0.5477 | train_acc 0.9496 | test_acc 0.9585
  [T=2] Epoch  3 | loss 0.3476 | train_acc 0.9655 | test_acc 0.9649
  [T=2] Epoch  4 | loss 0.2402 | train_acc 0.9746 | test_acc 0.9713
  [T=2] Epoch  5 | loss 0.1796 | train_acc 0.9799 | test_acc 0.9747
  [T=2] Epoch  6 | loss 0.1433 | train_acc 0.9830 | test_acc 0.9731
  [T=2] Epoch  7 | loss 0.1135 | train_acc 0.9863 | test_acc 0.9768
  [T=2] Epoch  8 | loss 0.0935 | train_acc 0.9883 | test_acc 0.9779
  [T=2] Epoch  9 | loss 0.0768 | train_acc 0.9904 | test_acc 0.9801
  [T=2] Epoch 10 | loss 0.0660 | train_acc 0.9918 | test_acc 0.9764

=== Distilling  T=3  alpha=0.1 ===
  [T=3] Epoch  1 | loss 3.3388 | train_acc 0.8725 | test_acc 0.9304
  [T=3] Epoch  2 | loss 1.1037 | train_acc 0.9459 | test_acc 0.9562
  [T=3] Epoch  3 | loss 0.6611 | train_acc 0.9641 | test_acc 0.9662
  [T=3] Epoch  4 | loss 0.4434 | train_acc 0.9733 | test_acc 0.9732
  [T=3] Epoch  5 | loss 0.3295 | train_acc 0.9788 | test_acc 0.9757
  [T=3] Epoch  6 | loss 0.2612 | train_acc 0.9826 | test_acc 0.9764
  [T=3] Epoch  7 | loss 0.2088 | train_acc 0.9860 | test_acc 0.9776
  [T=3] Epoch  8 | loss 0.1758 | train_acc 0.9878 | test_acc 0.9782
  [T=3] Epoch  9 | loss 0.1518 | train_acc 0.9895 | test_acc 0.9808
  [T=3] Epoch 10 | loss 0.1310 | train_acc 0.9913 | test_acc 0.9783

=== Distilling  T=4  alpha=0.1 ===
  [T=4] Epoch  1 | loss 5.5226 | train_acc 0.8667 | test_acc 0.9292
  [T=4] Epoch  2 | loss 1.6496 | train_acc 0.9457 | test_acc 0.9565
  [T=4] Epoch  3 | loss 0.9175 | train_acc 0.9649 | test_acc 0.9658
  [T=4] Epoch  4 | loss 0.5995 | train_acc 0.9744 | test_acc 0.9733
  [T=4] Epoch  5 | loss 0.4407 | train_acc 0.9798 | test_acc 0.9759
  [T=4] Epoch  6 | loss 0.3492 | train_acc 0.9839 | test_acc 0.9775
  [T=4] Epoch  7 | loss 0.2894 | train_acc 0.9860 | test_acc 0.9781
  [T=4] Epoch  8 | loss 0.2494 | train_acc 0.9879 | test_acc 0.9793
  [T=4] Epoch  9 | loss 0.2173 | train_acc 0.9893 | test_acc 0.9794
  [T=4] Epoch 10 | loss 0.1932 | train_acc 0.9903 | test_acc 0.9790

=== Distilling  T=5  alpha=0.1 ===
  [T=5] Epoch  1 | loss 7.7244 | train_acc 0.8622 | test_acc 0.9313
  [T=5] Epoch  2 | loss 2.0593 | train_acc 0.9474 | test_acc 0.9606
  [T=5] Epoch  3 | loss 1.1003 | train_acc 0.9666 | test_acc 0.9689
  [T=5] Epoch  4 | loss 0.7325 | train_acc 0.9751 | test_acc 0.9736
