run,T,alpha,epoch,train_loss,train_acc,test_acc
baseline,0,-,1,0.383566,0.891633,0.9424
baseline,0,-,2,0.153884,0.954083,0.9643
baseline,0,-,3,0.105015,0.9682,0.9694
baseline,0,-,4,0.077214,0.976683,0.9741
baseline,0,-,5,0.060318,0.981783,0.9762
baseline,0,-,6,0.048785,0.985,0.9747
baseline,0,-,7,0.042275,0.9866,0.9756
baseline,0,-,8,0.035418,0.988567,0.9762
baseline,0,-,9,0.027486,0.9916,0.9777
baseline,0,-,10,0.023162,0.992733,0.9761
distilled,1,0.1,1,0.375885,0.891833,0.9411
distilled,1,0.1,2,0.143679,0.955067,0.964
distilled,1,0.1,3,0.095955,0.969117,0.9699
distilled,1,0.1,4,0.069786,0.9768,0.9719
distilled,1,0.1,5,0.053182,0.981883,0.9742
distilled,1,0.1,6,0.043404,0.984867,0.974
distilled,1,0.1,7,0.036148,0.987133,0.9748
distilled,1,0.1,8,0.031109,0.98825,0.9773
distilled,1,0.1,9,0.023134,0.99125,0.9774
distilled,1,0.1,10,0.021478,0.9913,0.9763
distilled,2,0.1,1,1.518524,0.879767,0.9335
distilled,2,0.1,2,0.547744,0.94965,0.9585
distilled,2,0.1,3,0.347607,0.96545,0.9649
distilled,2,0.1,4,0.240212,0.9746,0.9713
distilled,2,0.1,5,0.179603,0.979867,0.9747
distilled,2,0.1,6,0.143262,0.983033,0.9731
distilled,2,0.1,7,0.11351,0.986333,0.9768
distilled,2,0.1,8,0.093531,0.988267,0.9779
distilled,2,0.1,9,0.076799,0.990433,0.9801
distilled,2,0.1,10,0.066011,0.991767,0.9764
distilled,3,0.1,1,3.338778,0.872533,0.9304
distilled,3,0.1,2,1.103743,0.94595,0.9562
distilled,3,0.1,3,0.661141,0.964067,0.9662
distilled,3,0.1,4,0.443371,0.973283,0.9732
distilled,3,0.1,5,0.329487,0.9788,0.9757
distilled,3,0.1,6,0.261193,0.98255,0.9764
distilled,3,0.1,7,0.208763,0.98605,0.9776
distilled,3,0.1,8,0.175841,0.987817,0.9782
distilled,3,0.1,9,0.151817,0.989483,0.9808
distilled,3,0.1,10,0.13096,0.991333,0.9783
distilled,4,0.1,1,5.522621,0.86665,0.9292
distilled,4,0.1,2,1.649578,0.945683,0.9565
distilled,4,0.1,3,0.917453,0.964933,0.9658
distilled,4,0.1,4,0.599482,0.974433,0.9733
distilled,4,0.1,5,0.440712,0.979833,0.9759
distilled,4,0.1,6,0.349172,0.983867,0.9775
distilled,4,0.1,7,0.289419,0.98605,0.9781
distilled,4,0.1,8,0.249438,0.987933,0.9793
distilled,4,0.1,9,0.21731,0.989267,0.9794
distilled,4,0.1,10,0.19324,0.99035,0.979
distilled,5,0.1,1,7.724366,0.8622,0.9313
distilled,5,0.1,2,2.059323,0.947383,0.9606
distilled,5,0.1,3,1.100317,0.966633,0.9689
distilled,5,0.1,4,0.732494,0.9751,0.9736
distilled,5,0.1,5,0.546626,0.980517,0.976
distilled,5,0.1,6,0.439655,0.983633,0.9779
distilled,5,0.1,7,0.36878,0.986033,0.9778
distilled,5,0.1,8,0.324267,0.987783,0.9791
distilled,5,0.1,9,0.287886,0.988817,0.979
distilled,5,0.1,10,0.259108,0.990217,0.9792
distilled,6,0.1,1,9.732263,0.858,0.9306
distilled,6,0.1,2,2.467226,0.946417,0.9588
distilled,6,0.1,3,1.316747,0.96635,0.9682
distilled,6,0.1,4,0.874889,0.974183,0.9725
distilled,6,0.1,5,0.657985,0.9796,0.9757
distilled,6,0.1,6,0.533932,0.982633,0.9776
distilled,6,0.1,7,0.453751,0.985267,0.978
distilled,6,0.1,8,0.404219,0.9866,0.9785
distilled,6,0.1,9,0.356009,0.988267,0.9796
distilled,6,0.1,10,0.324289,0.989483,0.9791
distilled,7,0.1,1,11.349273,0.854233,0.9302
distilled,7,0.1,2,2.781337,0.945517,0.9584
distilled,7,0.1,3,1.468094,0.9654,0.9688
distilled,7,0.1,4,0.973314,0.9745,0.9723
distilled,7,0.1,5,0.73488,0.979767,0.9764
distilled,7,0.1,6,0.604006,0.982633,0.9768
distilled,7,0.1,7,0.51791,0.9847,0.9784
distilled,7,0.1,8,0.465012,0.986,0.9791
distilled,7,0.1,9,0.411596,0.987567,0.9801
distilled,7,0.1,10,0.376863,0.988883,0.9796
distilled,8,0.1,1,12.624121,0.849033,0.9294
distilled,8,0.1,2,3.00332,0.945367,0.959
distilled,8,0.1,3,1.587588,0.96565,0.9689
distilled,8,0.1,4,1.055626,0.974467,0.9736
distilled,8,0.1,5,0.80743,0.979617,0.9766
distilled,8,0.1,6,0.669189,0.982783,0.9768
distilled,8,0.1,7,0.570966,0.984367,0.9791
distilled,8,0.1,8,0.515576,0.9861,0.9787
distilled,8,0.1,9,0.458934,0.987767,0.9797
distilled,8,0.1,10,0.425013,0.988817,0.9801
distilled,9,0.1,1,13.514549,0.846467,0.9296
distilled,9,0.1,2,3.141666,0.944833,0.9583
distilled,9,0.1,3,1.682667,0.96525,0.9698
distilled,9,0.1,4,1.12874,0.974417,0.9731
distilled,9,0.1,5,0.864116,0.979517,0.9762
distilled,9,0.1,6,0.712884,0.982583,0.9767
distilled,9,0.1,7,0.610451,0.98475,0.9782
distilled,9,0.1,8,0.550387,0.986217,0.9777
distilled,9,0.1,9,0.492001,0.987183,0.979
distilled,9,0.1,10,0.458118,0.988517,0.9786
distilled,10,0.1,1,14.139681,0.843533,0.9301
distilled,10,0.1,2,3.207143,0.945283,0.9597
distilled,10,0.1,3,1.737862,0.96515,0.9694
distilled,10,0.1,4,1.179733,0.97455,0.9723
distilled,10,0.1,5,0.908717,0.9797,0.9753
distilled,10,0.1,6,0.755565,0.9827,0.9759
distilled,10,0.1,7,0.656909,0.984533,0.9769
distilled,10,0.1,8,0.591693,0.986033,0.9776
distilled,10,0.1,9,0.533242,0.986967,0.9777
distilled,10,0.1,10,0.494033,0.9882,0.9785
